CPTime	InternalTime

100.10	1212.10
150.10	1788.00
200.10	2409.70
250.10	3022.00
300.10	3658.70
350.00	4245.70
400.00	4868.70
450.00	5337.70
500.00	6014.50
550.00	6605.10
600.00	7193.30
650.00	7773.80
700.00	8395.90
750.00	9028.90
800.00	9704.10
850.00	10237.40
900.00	10940.90
950.00	11460.10
1000.00	12234.10
1050.00	12822.50
1100.00	13274.50
1150.00	13795.10
1200.00	14595.10
1250.10	15057.10
1300.10	15742.60
1350.10	16294.50
1400.10	16882.80
1450.10	17339.50
1500.10	17986.90
1550.10	18726.10
1600.10	19194.40
1650.10	19861.50
1700.10	20470.70
1750.10	21065.30
1800.10	21782.60
1850.10	22468.10
1900.10	22982.50
1950.10	23536.60
2000.10	24092.10
2050.10	24638.20
2100.10	25258.60
2150.10	26003.90
2200.10	26417.90
2250.10	27045.30
2300.10	27928.10
2350.10	28283.20
2400.10	28976.30
2450.10	29622.10
2500.10	29999.30
2550.10	30715.30
2600.10	31251.20
2650.10	31977.60
2700.10	32393.20
2750.10	33163.30
2800.10	33685.50
2850.10	34406.50
2900.10	35174.10
2950.10	35677.00
3000.10	36054.10
3050.10	36582.40
3100.10	37518.10
3150.10	37746.10
3200.10	38500.90
3250.10	39463.30
3300.10	39940.00
3350.10	40700.20
3400.10	41002.30
3450.10	41670.30
3500.10	42222.10
3550.10	42945.50
