CPTime	InternalTime

100.10	2244.10
150.10	3444.10
200.10	4493.20
250.10	5649.70
300.10	6665.50
350.00	7905.40
400.00	9035.50
450.00	10090.90
500.00	11120.10
550.00	12189.70
600.00	13459.70
650.00	14586.10
700.00	15785.70
750.00	16919.10
800.00	18002.50
850.00	19229.40
900.00	20171.90
950.00	21440.10
1000.00	22654.90
1050.00	23465.10
1100.00	24855.70
1150.00	25723.50
1200.00	26617.60
1250.10	27914.90
1300.10	29169.10
1350.10	30324.10
1400.10	31123.20
1450.10	32467.30
1500.10	33490.90
1550.10	34772.50
1600.10	35921.70
1650.10	36975.70
1700.10	37975.60
1750.10	39210.50
1800.10	40397.40
1850.10	41276.50
1900.10	42712.90
1950.10	43588.00
2000.10	45029.70
2050.10	45774.90
2100.10	46982.20
2150.10	48264.10
2200.10	49291.60
2250.10	50516.50
2300.10	51228.10
2350.10	52922.10
2400.10	53827.30
2450.10	54648.10
2500.10	55858.10
2550.10	57388.90
2600.10	58520.10
2650.10	59302.90
2700.10	60892.40
2750.10	62176.40
2800.10	63142.30
2850.10	63877.90
2900.10	65359.70
2950.10	66201.50
3000.10	67233.50
3050.10	68805.10
3100.10	69538.30
3150.10	70633.60
3200.10	72033.60
3250.10	72817.90
3300.10	74043.60
3350.10	75504.10
3400.10	76324.10
3450.10	77302.90
3500.10	78475.60
3550.10	79668.70
