ProtocolTime	Work

100	322.565033
150	145.295434
200	82.422736
250	53.782530
300	37.778690
350	28.286494
400	22.210911
450	17.467723
500	14.224935
550	12.184653
600	10.329775
650	8.891882
700	7.752416
750	6.652860
800	5.992772
850	5.454475
900	5.066323
950	4.407579
1000	4.222823
1050	3.652635
1100	3.408087
1150	3.133893
1200	2.883432
1250	2.822932
1300	2.562651
1350	2.487028
1400	2.313511
1450	2.097443
1500	1.984058
1550	1.884414
1600	1.660076
1650	1.709841
1700	1.680734
1750	1.553865
1800	1.490023
1850	1.356965
1900	1.366020
1950	1.284147
2000	1.162607
2050	1.133799
2100	1.132390
2150	1.050565
2200	1.063554
2250	1.052880
2300	1.011219
2350	0.931542
2400	0.986089
2450	0.841942
2500	0.835592
2550	0.875752
2600	0.835648
2650	0.785071
2700	0.756752
2750	0.737071
2800	0.665949
2850	0.689503
2900	0.728788
2950	0.603172
3000	0.656712
3050	0.629524
3100	0.582165
3150	0.586189
3200	0.595966
3250	0.576329
3300	0.562158
3350	0.535388
3400	0.536280
3450	0.540115
3500	0.523362
3550	0.468006
