CPTime	InternalTime

100.10	670.60
150.10	1024.20
200.10	1365.20
250.10	1708.90
300.10	2004.90
350.00	2384.50
400.00	2667.30
450.00	3022.90
500.00	3366.10
550.00	3680.50
600.00	4050.30
650.00	4365.50
700.00	4707.40
750.00	5038.90
800.00	5423.10
850.00	5704.90
900.00	6047.10
950.00	6424.90
1000.00	6727.60
1050.00	7156.10
1100.00	7393.20
1150.00	7794.10
1200.00	8108.50
1250.10	8434.10
1300.10	8801.90
1350.10	9116.10
1400.10	9554.50
1450.10	9763.30
1500.10	10193.80
1550.10	10446.20
1600.10	10764.10
1650.10	11106.10
1700.10	11472.90
1750.10	11791.10
1800.10	12070.40
1850.10	12513.90
1900.10	12846.50
1950.10	13188.10
2000.10	13435.90
2050.10	13812.60
2100.10	14266.10
2150.10	14503.60
2200.10	14734.50
2250.10	15179.10
2300.10	15524.90
2350.10	15903.70
2400.10	16217.60
2450.10	16486.50
2500.10	16875.40
2550.10	17200.10
2600.10	17577.70
2650.10	17865.70
2700.10	18224.20
2750.10	18541.30
2800.10	18850.60
2850.10	19241.40
2900.10	19531.30
2950.10	19817.10
3000.10	20305.10
3050.10	20571.10
3100.10	21002.70
3150.10	21285.10
3200.10	21541.60
3250.10	21877.30
3300.10	22294.90
3350.10	22679.40
3400.10	22912.60
3450.10	23230.50
3500.10	23583.10
3550.10	23880.60
