CPTime	InternalTime

100.10	702.10
150.10	1005.50
200.10	1360.90
250.10	1716.10
300.10	2046.10
350.00	2364.00
400.00	2700.10
450.00	3030.10
500.00	3352.80
550.00	3700.90
600.00	4020.10
650.00	4428.10
700.00	4735.00
750.00	5012.20
800.00	5353.50
850.00	5715.30
900.00	6025.70
950.00	6421.20
1000.00	6766.20
1050.00	7041.10
1100.00	7382.30
1150.00	7758.40
1200.00	8089.70
1250.10	8437.30
1300.10	8780.60
1350.10	9102.70
1400.10	9549.10
1450.10	9814.10
1500.10	10153.70
1550.10	10413.80
1600.10	10869.70
1650.10	11168.20
1700.10	11441.60
1750.10	11832.10
1800.10	12058.10
1850.10	12401.10
1900.10	12819.50
1950.10	13153.50
2000.10	13595.50
2050.10	13801.60
2100.10	14145.70
2150.10	14521.20
2200.10	14820.10
2250.10	15164.90
2300.10	15530.60
2350.10	15849.10
2400.10	16218.90
2450.10	16485.10
2500.10	16879.10
2550.10	17266.90
2600.10	17697.10
2650.10	17872.90
2700.10	18234.80
2750.10	18543.10
2800.10	18998.10
2850.10	19234.00
2900.10	19564.90
2950.10	19900.50
3000.10	20272.10
3050.10	20503.00
3100.10	20823.50
3150.10	21247.30
3200.10	21629.40
3250.10	21840.40
3300.10	22238.10
3350.10	22687.60
3400.10	22970.60
3450.10	23266.00
3500.10	23546.80
3550.10	23971.30
