CPTime	InternalTime

100.10	671.10
150.10	1027.00
200.10	1352.90
250.10	1663.30
300.10	2022.40
350.00	2343.70
400.00	2707.70
450.00	3026.50
500.00	3376.60
550.00	3709.10
600.00	4036.60
650.00	4326.40
700.00	4764.10
750.00	5075.30
800.00	5403.70
850.00	5755.30
900.00	6115.30
950.00	6427.90
1000.00	6709.90
1050.00	7043.20
1100.00	7388.80
1150.00	7825.10
1200.00	8125.30
1250.10	8458.00
1300.10	8783.70
1350.10	9136.90
1400.10	9425.60
1450.10	9875.90
1500.10	10190.50
1550.10	10485.30
1600.10	10749.70
1650.10	11109.80
1700.10	11592.10
1750.10	11835.00
1800.10	12185.10
1850.10	12441.10
1900.10	12770.00
1950.10	13133.50
2000.10	13487.90
2050.10	13862.50
2100.10	14173.30
2150.10	14517.20
2200.10	14729.10
2250.10	15190.90
2300.10	15541.30
2350.10	15860.00
2400.10	16201.90
2450.10	16582.60
2500.10	16904.10
2550.10	17147.10
2600.10	17569.00
2650.10	17947.10
2700.10	18304.90
2750.10	18537.10
2800.10	18848.10
2850.10	19303.80
2900.10	19543.10
2950.10	19996.30
3000.10	20273.50
3050.10	20539.00
3100.10	20961.70
3150.10	21232.00
3200.10	21605.00
3250.10	21833.10
3300.10	22351.30
3350.10	22569.70
3400.10	22942.00
3450.10	23262.30
3500.10	23747.30
3550.10	24040.20
