ProtocolTime	Work

5	120.000000
10	60.000000
15	40.000000
20	30.000000
25	24.000000
30	20.000000
35	17.142857
40	15.000000
45	13.333333
50	12.000000
55	10.909091
60	10.000000
65	9.230769
70	8.571429
75	8.000000
80	7.500000
85	7.058824
90	6.666667
95	6.315789
100	6.000000
105	5.714286
110	5.454545
115	5.217391
120	5.000000
125	4.800000
130	4.615385
135	4.444444
140	4.285714
145	4.137931
150	4.000000
155	3.870968
160	3.750000
165	3.636364
170	3.529412
175	3.428571
180	3.333333
185	3.243243
190	3.157895
195	3.076923
200	3.000000
