Time	Position

0.050000	0.000000
0.100000	0.000000
0.150000	42.387743
0.200000	42.019213
0.250000	41.655664
0.300000	41.254470
0.350000	40.714278
0.400000	40.251461
0.450000	39.875585
0.500000	39.488729
0.550000	39.141005
0.600000	38.796177
0.650000	38.431354
0.700000	38.068460
0.750000	37.649529
0.800000	37.237589
0.850000	36.928210
0.900000	36.745824
0.950000	36.578737
1.000000	36.309497
1.050000	35.990732
1.100000	35.810687
1.150000	35.607125
1.200000	35.221356
1.250000	34.793841
1.300000	34.388319
1.350000	34.033753
1.400000	33.816355
1.450000	33.657912
1.500000	33.414880
1.550000	33.225059
1.600000	33.055566
1.650000	32.818198
1.700000	32.612456
1.750000	32.312395
1.800000	31.933528
1.850000	31.581088
1.900000	31.296591
1.950000	31.032088
2.000000	30.738890
2.050000	30.476281
2.100000	30.158338
2.150000	29.801097
2.200000	29.368827
2.250000	28.958677
2.300000	28.709198
2.350000	28.534529
2.400000	28.301860
2.450000	27.975719
2.500000	27.685289
2.550000	27.451566
2.600000	27.174541
2.650000	26.848862
2.700000	26.563885
2.750000	26.329247
2.800000	26.086105
2.850000	25.771318
2.900000	25.421072
2.950000	24.994178
3.000000	24.644353
3.050000	24.378342
3.100000	24.195552
3.150000	24.118982
3.200000	23.982981
3.250000	23.761064
3.300000	23.447261
3.350000	23.155368
3.400000	22.910748
3.450000	22.739751
3.500000	22.655479
3.550000	22.481519
3.600000	22.224255
3.650000	21.963190
3.700000	21.709999
3.750000	21.621853
3.800000	21.582697
3.850000	21.521148
3.900000	21.471683
3.950000	21.373355
4.000000	21.256026
4.050000	21.172516
4.100000	21.064378
4.150000	20.840188
4.200000	20.531730
4.250000	20.252277
4.300000	19.975621
4.350000	19.702224
4.400000	19.536057
4.450000	19.486296
4.500000	19.447817
4.550000	19.257565
4.600000	19.003325
4.650000	18.815874
4.700000	18.622728
4.750000	18.361079
4.800000	18.112865
4.850000	17.841777
4.900000	17.611253
4.950000	17.478881
5.000000	17.311410
5.050000	17.111725
5.100000	16.905746
5.150000	16.692291
5.200000	16.497148
5.250000	16.340450
5.300000	16.224793
5.350000	16.146690
5.400000	16.021359
5.450000	15.832203
5.500000	15.586995
5.550000	15.341258
5.600000	15.148915
5.650000	14.844053
5.700000	14.474431
5.750000	14.183349
5.800000	13.981161
5.850000	13.853365
5.900000	13.758167
5.950000	13.682310
6.000000	13.663060
6.050000	13.600152
6.100000	13.434393
6.150000	13.309138
6.200000	13.212131
6.250000	13.137323
6.300000	13.047920
6.350000	12.938578
6.400000	12.859190
6.450000	12.792887
6.500000	12.755115
6.550000	12.736694
6.600000	12.671012
6.650000	12.554177
6.700000	12.431549
6.750000	12.316177
6.800000	12.211607
6.850000	12.136778
6.900000	12.097674
6.950000	12.080601
7.000000	12.002385
7.050000	11.924922
7.100000	11.882960
7.150000	11.851777
7.200000	11.851051
7.250000	11.810274
7.300000	11.744406
7.350000	11.604153
7.400000	11.408334
7.450000	11.268712
7.500000	11.181836
7.550000	11.109569
7.600000	10.964389
7.650000	10.842220
7.700000	10.779026
7.750000	10.755187
7.800000	10.698645
7.850000	10.485404
7.900000	10.279100
7.950000	10.207038
8.000000	10.126277
8.050000	9.999141
8.100000	9.923759
8.150000	9.895619
8.200000	9.947311
8.250000	9.992330
8.300000	9.918531
8.350000	9.869442
8.400000	9.884358
8.450000	9.861884
8.500000	9.859267
