Time	Position

0.050000	0.000000
0.100000	325.073499
0.150000	0.000000
0.200000	335.525934
0.250000	332.355422
0.300000	329.387475
0.350000	326.411342
0.400000	323.408479
0.450000	319.885437
0.500000	316.733267
0.550000	313.850340
0.600000	310.873039
0.650000	308.126143
0.700000	305.240505
0.750000	302.405963
0.800000	299.341512
0.850000	296.626954
0.900000	294.202611
0.950000	291.156452
1.000000	288.037400
1.050000	285.235731
1.100000	282.595682
1.150000	279.513325
1.200000	276.206708
1.250000	272.712817
1.300000	269.355528
1.350000	266.023433
1.400000	262.809887
1.450000	260.036747
1.500000	257.339868
1.550000	254.850743
1.600000	252.411607
1.650000	249.999947
1.700000	247.455219
1.750000	244.837801
1.800000	242.125066
1.850000	239.284992
1.900000	236.522537
1.950000	233.988799
2.000000	232.078169
2.050000	230.188584
2.100000	227.995650
2.150000	226.004458
2.200000	224.165112
2.250000	222.199677
2.300000	220.261702
2.350000	218.427945
2.400000	216.598458
2.450000	214.879262
2.500000	213.219073
2.550000	211.174216
2.600000	208.926936
2.650000	206.848373
2.700000	204.508069
2.750000	201.750365
2.800000	199.120889
2.850000	197.053637
2.900000	195.031632
2.950000	192.998966
3.000000	191.319799
3.050000	189.992419
3.100000	188.296623
3.150000	186.538919
3.200000	184.978644
3.250000	183.314984
3.300000	181.104885
3.350000	178.696714
3.400000	176.368303
3.450000	173.765743
3.500000	171.689550
3.550000	169.593882
3.600000	167.529017
3.650000	165.847885
3.700000	164.143221
3.750000	162.426477
3.800000	160.675667
3.850000	159.026528
3.900000	157.335759
3.950000	155.702287
4.000000	154.333388
4.050000	153.427969
4.100000	152.493769
4.150000	151.262964
4.200000	149.974457
4.250000	148.129271
4.300000	146.088738
4.350000	144.743912
4.400000	143.469268
4.450000	142.133102
4.500000	141.057891
4.550000	140.073549
4.600000	138.958665
4.650000	137.541333
4.700000	136.533321
4.750000	135.698516
4.800000	134.473743
4.850000	132.844972
4.900000	131.303057
4.950000	129.646370
5.000000	127.693784
5.050000	126.330869
5.100000	125.312224
5.150000	124.027261
5.200000	122.570086
5.250000	121.018468
5.300000	119.341111
5.350000	117.810419
5.400000	116.747789
5.450000	115.781988
5.500000	114.611511
5.550000	113.462265
5.600000	112.551523
5.650000	111.845563
5.700000	111.065005
5.750000	110.176573
5.800000	109.138897
5.850000	107.802192
5.900000	106.506622
5.950000	105.250978
6.000000	104.047481
6.050000	103.005083
6.100000	101.654339
6.150000	100.023485
6.200000	99.034594
6.250000	98.631044
6.300000	97.967750
6.350000	97.337721
6.400000	96.467223
6.450000	95.497106
6.500000	94.561191
6.550000	93.432086
6.600000	92.598712
6.650000	92.148676
6.700000	91.436807
6.750000	90.078080
6.800000	88.465276
6.850000	87.390377
6.900000	86.892380
6.950000	86.078998
7.000000	84.903306
7.050000	83.938274
7.100000	83.389820
7.150000	82.859133
7.200000	81.870856
7.250000	80.601461
7.300000	79.391686
7.350000	78.305819
7.400000	77.403089
7.450000	76.897426
7.500000	76.249079
7.550000	75.366023
7.600000	74.914560
7.650000	74.457039
7.700000	73.250273
7.750000	71.976996
7.800000	70.961553
7.850000	69.959988
7.900000	69.256519
7.950000	68.408829
8.000000	67.774342
8.050000	67.135864
8.100000	66.139070
8.150000	65.174888
8.200000	64.417173
8.250000	64.205401
8.300000	63.748422
8.350000	62.366076
8.400000	61.535811
8.450000	61.111884
8.500000	60.474855
