Time	Position

0.050000	0.000000
0.100000	166167.476366
0.150000	172982.398558
0.200000	171601.054980
0.250000	169823.669245
0.300000	0.000000
0.350000	166299.769587
0.400000	164608.484298
0.450000	162953.663678
0.500000	161299.894513
0.550000	159626.307561
0.600000	157938.371615
0.650000	156301.397539
0.700000	154731.267206
0.750000	153163.590189
0.800000	151596.805680
0.850000	150043.521510
0.900000	148504.511678
0.950000	146996.042846
1.000000	145512.400208
1.050000	144019.093308
1.100000	142524.458372
1.150000	141048.223949
1.200000	139590.613889
1.250000	138164.811151
1.300000	136750.991674
1.350000	135350.657118
1.400000	133959.377970
1.450000	132569.479633
1.500000	131200.389238
1.550000	129852.741119
1.600000	128536.905150
1.650000	127214.054213
1.700000	125884.411689
1.750000	124616.843558
1.800000	123374.382086
1.850000	122121.200695
1.900000	120899.808375
1.950000	119683.294481
2.000000	118456.341059
2.050000	117266.975558
2.100000	116082.997041
2.150000	114868.025408
2.200000	113650.400182
2.250000	112472.620567
2.300000	111318.225536
2.350000	110165.604292
2.400000	109007.199403
2.450000	107861.513892
2.500000	106759.665747
2.550000	105694.986766
2.600000	104634.169905
2.650000	103573.908360
2.700000	102565.201511
2.750000	101573.657175
2.800000	100574.113665
2.850000	99558.378647
2.900000	98533.131854
2.950000	97531.462917
3.000000	96537.760266
3.050000	95544.488584
3.100000	94552.046126
3.150000	93573.062535
3.200000	92621.081301
3.250000	91687.903423
3.300000	90750.802039
3.350000	89801.195860
3.400000	88868.997311
3.450000	87977.351642
3.500000	87120.962256
3.550000	86247.332557
3.600000	85367.439538
3.650000	84528.896646
3.700000	83685.764053
3.750000	82821.198813
3.800000	81964.596548
3.850000	81126.017918
3.900000	80296.402870
3.950000	79492.681078
4.000000	78725.726450
4.050000	77966.160267
4.100000	77196.364514
4.150000	76440.155184
4.200000	75663.875028
4.250000	74868.364751
4.300000	74106.186371
4.350000	73370.380025
4.400000	72661.690135
4.450000	71960.547202
4.500000	71260.266016
4.550000	70564.214762
4.600000	69853.676971
4.650000	69151.418500
4.700000	68449.502821
4.750000	67746.758189
4.800000	67073.527462
4.850000	66412.671446
4.900000	65736.943551
4.950000	65059.516877
5.000000	64386.284452
5.050000	63711.816922
5.100000	63051.589373
5.150000	62431.476205
5.200000	61845.176897
5.250000	61244.501023
5.300000	60627.002360
5.350000	60024.294384
5.400000	59412.706239
5.450000	58801.586606
5.500000	58223.370799
5.550000	57650.763931
5.600000	57047.034713
5.650000	56415.387679
5.700000	55793.558728
5.750000	55181.722504
5.800000	54607.011725
5.850000	54073.217652
5.900000	53546.523669
5.950000	53027.818342
6.000000	52491.723425
6.050000	51929.725787
6.100000	51370.611584
6.150000	50820.651032
6.200000	50313.137778
6.250000	49829.625856
6.300000	49347.763967
6.350000	48868.312052
6.400000	48374.772752
6.450000	47907.925363
6.500000	47459.327105
6.550000	46992.506527
6.600000	46527.066870
6.650000	46058.379796
6.700000	45606.739238
6.750000	45165.126600
6.800000	44694.363442
6.850000	44232.364479
6.900000	43798.858512
6.950000	43371.362689
7.000000	42946.001739
7.050000	42503.213614
7.100000	42051.262354
7.150000	41615.918783
7.200000	41214.592948
7.250000	40828.673096
7.300000	40413.779162
7.350000	40004.153741
7.400000	39625.368989
7.450000	39226.954819
7.500000	38825.577895
7.550000	38454.292252
7.600000	38086.921404
7.650000	37708.351406
7.700000	37350.295782
7.750000	37016.369927
