Time	Position

0.050000	0.000000
0.100000	5.067548
0.150000	5.296376
0.200000	5.267064
0.250000	5.216639
0.300000	5.133495
0.350000	5.043776
0.400000	4.987924
0.450000	4.935408
0.500000	4.870980
0.550000	4.791955
0.600000	4.732786
0.650000	4.689031
0.700000	4.633428
0.750000	4.556601
0.800000	4.481900
0.850000	4.438774
0.900000	4.428639
0.950000	4.421216
1.000000	4.363747
1.050000	4.314216
1.100000	4.299142
1.150000	4.275985
1.200000	4.238399
1.250000	4.186747
1.300000	4.136192
1.350000	4.092504
1.400000	4.032245
1.450000	3.949007
1.500000	3.887129
1.550000	3.859277
1.600000	3.848953
1.650000	3.820378
1.700000	3.745454
1.750000	3.673575
1.800000	3.609712
1.850000	3.557257
1.900000	3.526160
1.950000	3.505062
2.000000	3.461234
2.050000	3.397472
2.100000	3.347777
2.150000	3.322211
2.200000	3.296998
2.250000	3.261542
2.300000	3.226017
2.350000	3.194715
2.400000	3.165527
2.450000	3.141915
2.500000	3.143373
2.550000	3.132224
2.600000	3.090392
2.650000	3.052231
2.700000	2.993666
2.750000	2.920182
2.800000	2.891639
2.850000	2.876407
2.900000	2.845755
2.950000	2.806274
3.000000	2.768370
3.050000	2.742551
3.100000	2.708644
3.150000	2.672827
3.200000	2.673310
3.250000	2.685890
3.300000	2.686186
3.350000	2.668124
3.400000	2.625447
3.450000	2.597818
3.500000	2.593240
3.550000	2.568557
3.600000	2.528118
3.650000	2.490898
3.700000	2.472112
3.750000	2.474545
3.800000	2.443609
3.850000	2.383015
3.900000	2.346731
3.950000	2.318079
4.000000	2.256322
4.050000	2.185877
4.100000	2.156324
4.150000	2.152048
4.200000	2.145032
4.250000	2.136678
4.300000	2.114717
4.350000	2.085744
4.400000	2.052331
4.450000	2.025987
4.500000	1.998325
4.550000	1.937904
4.600000	1.891367
4.650000	1.871394
4.700000	1.851694
4.750000	1.841271
4.800000	1.813211
4.850000	1.760943
4.900000	1.729698
4.950000	1.718011
5.000000	1.692513
5.050000	1.649375
5.100000	1.598843
5.150000	1.565961
5.200000	1.559798
5.250000	1.563431
5.300000	1.571123
5.350000	1.571048
5.400000	1.543243
5.450000	1.530247
5.500000	1.524868
5.550000	1.497419
5.600000	1.472612
5.650000	1.447125
5.700000	1.424842
5.750000	1.414851
5.800000	1.406619
5.850000	1.396383
5.900000	1.394547
5.950000	1.388743
6.000000	1.355094
6.050000	1.328786
6.100000	1.320017
6.150000	1.322313
6.200000	1.330638
6.250000	1.309330
6.300000	1.284030
6.350000	1.260937
6.400000	1.251606
6.450000	1.229850
6.500000	1.199032
6.550000	1.198871
6.600000	1.211209
6.650000	1.206414
6.700000	1.173409
6.750000	1.150326
6.800000	1.154228
6.850000	1.151398
6.900000	1.119092
6.950000	1.078337
7.000000	1.067099
7.050000	1.087156
7.100000	1.093350
7.150000	1.075219
7.200000	1.051382
7.250000	1.037833
7.300000	1.030377
7.350000	1.012679
7.400000	0.989900
7.450000	0.962300
7.500000	0.940380
7.550000	0.923197
7.600000	0.888514
7.650000	0.864000
7.700000	0.854909
7.750000	0.853165
7.800000	0.871707
7.850000	0.893411
7.900000	0.886875
7.950000	0.857203
8.000000	0.844409
8.050000	0.846965
8.100000	0.860595
8.150000	0.882568
8.200000	0.885935
8.250000	0.892845
8.300000	0.883764
8.350000	0.851085
8.400000	0.862345
8.450000	0.885896
8.500000	0.903400
