Relaxation	TimeSeparation

1.000000	0
0.995038	0
0.987641	0
0.979679	0
0.971624	0
0.963592	0
0.955619	0
0.947711	0
0.939862	0
0.932079	0
0.924361	0
0.916713	1
0.909130	1
0.901610	1
0.894150	1
0.886743	1
0.879376	1
0.872061	1
0.864803	1
0.857610	1
0.850484	2
0.843418	2
0.836405	2
0.829447	2
0.822552	2
0.815719	2
0.808945	2
0.802225	2
0.795566	2
0.788961	2
0.782412	3
0.775905	3
0.769442	3
0.763023	3
0.756648	3
0.750320	3
0.744037	3
0.737796	3
0.731595	3
0.725440	3
0.719339	4
0.713283	4
0.707278	4
0.701325	4
0.695411	4
0.689547	4
0.683740	4
0.677973	4
0.672250	4
0.666560	4
0.660909	4
0.655295	5
0.649714	5
0.644176	5
0.638693	5
0.633258	5
0.627871	5
0.622529	5
0.617239	5
0.611999	5
0.606803	5
0.601640	6
0.596518	6
0.591436	6
0.586391	6
0.581383	6
0.576416	6
0.571486	6
0.566599	6
0.561760	6
0.556966	6
0.552213	7
0.547502	7
0.542825	7
0.538182	7
0.533572	7
0.529005	7
0.524471	7
0.519966	7
0.515494	7
0.511051	7
0.506637	8
0.502241	8
0.497866	8
0.493517	8
0.489207	8
0.484931	8
0.480686	8
0.476495	8
0.472353	8
0.468261	8
0.464210	9
0.460208	9
0.456246	9
0.452319	9
0.448413	9
0.444533	9
0.440685	9
0.436873	9
0.433108	9
0.429377	9
0.425678	10
0.422011	10
0.418381	10
0.414792	10
0.411236	10
0.407713	10
0.404223	10
0.400781	10
0.397380	10
0.394021	10
0.390692	11
0.387393	11
0.384125	11
0.380886	11
0.377683	11
0.374516	11
0.371381	11
0.368275	11
0.365176	11
0.362094	11
0.359025	12
0.355984	12
0.352973	12
0.349987	12
0.347032	12
0.344117	12
0.341228	12
0.338352	12
0.335496	12
0.332650	12
0.329817	13
0.327002	13
0.324201	13
0.321423	13
0.318675	13
0.315946	13
0.313227	13
0.310531	13
0.307862	13
0.305205	13
0.302565	14
0.299940	14
0.297325	14
0.294723	14
0.292147	14
0.289581	14
0.287031	14
0.284509	14
0.282014	14
0.279547	14
0.277111	15
0.274694	15
0.272287	15
0.269898	15
0.267519	15
0.265174	15
0.262851	15
0.260559	15
0.258281	15
0.256012	15
0.253765	16
0.251529	16
0.249318	16
0.247127	16
0.244961	16
0.242821	16
0.240702	16
0.238604	16
0.236530	16
0.234470	16
0.232414	17
0.230367	17
0.228332	17
0.226305	17
0.224292	17
0.222292	17
0.220310	17
0.218357	17
0.216425	17
0.214513	17
0.212611	18
0.210731	18
0.208879	18
0.207047	18
0.205232	18
0.203427	18
0.201633	18
0.199844	18
0.198067	18
0.196313	19
0.194578	19
0.192855	19
0.191153	19
0.189469	19
0.187800	19
0.186142	19
0.184499	19
0.182873	19
0.181269	19
0.179688	20
0.178130	20
0.176586	20
0.175047	20
0.173523	20
0.172016	20
0.170520	20
0.169039	20
0.167570	20
