Relaxation	TimeSeparation

1.000000	0
0.994983	0
0.987486	0
0.979417	0
0.971254	0
0.963122	0
0.955042	0
0.947024	0
0.939061	0
0.931164	0
0.923328	0
0.915551	1
0.907830	1
0.900169	1
0.892567	1
0.885030	1
0.877552	1
0.870127	1
0.862767	1
0.855474	1
0.848249	2
0.841089	2
0.833994	2
0.826961	2
0.819973	2
0.813037	2
0.806161	2
0.799354	2
0.792603	2
0.785915	2
0.779294	3
0.772732	3
0.766232	3
0.759792	3
0.753409	3
0.747078	3
0.740798	3
0.734563	3
0.728368	3
0.722227	3
0.716154	4
0.710143	4
0.704172	4
0.698238	4
0.692353	4
0.686513	4
0.680731	4
0.675001	4
0.669329	4
0.663712	4
0.658154	4
0.652654	5
0.647204	5
0.641803	5
0.636454	5
0.631145	5
0.625874	5
0.620646	5
0.615460	5
0.610313	5
0.605205	5
0.600134	6
0.595111	6
0.590138	6
0.585204	6
0.580309	6
0.575462	6
0.570670	6
0.565916	6
0.561189	6
0.556492	6
0.551827	7
0.547188	7
0.542585	7
0.538013	7
0.533473	7
0.528974	7
0.524513	7
0.520078	7
0.515685	7
0.511336	7
0.507022	8
0.502731	8
0.498477	8
0.494262	8
0.490085	8
0.485934	8
0.481813	8
0.477717	8
0.473660	8
0.469633	8
0.465644	9
0.461693	9
0.457776	9
0.453894	9
0.450038	9
0.446206	9
0.442394	9
0.438609	9
0.434844	9
0.431095	9
0.427379	10
0.423705	10
0.420061	10
0.416442	10
0.412841	10
0.409264	10
0.405713	10
0.402197	10
0.398698	10
0.395226	10
0.391781	11
0.388379	11
0.385012	11
0.381674	11
0.378370	11
0.375100	11
0.371854	11
0.368628	11
0.365429	11
0.362257	11
0.359113	12
0.356005	12
0.352926	12
0.349879	12
0.346860	12
0.343879	12
0.340932	12
0.338012	12
0.335110	12
0.332226	12
0.329360	13
0.326514	13
0.323681	13
0.320864	13
0.318075	13
0.315314	13
0.312583	13
0.309883	13
0.307213	13
0.304579	13
0.301966	14
0.299363	14
0.296776	14
0.294214	14
0.291671	14
0.289153	14
0.286658	14
0.284197	14
0.281765	14
0.279336	14
0.276919	15
0.274522	15
0.272144	15
0.269782	15
0.267434	15
0.265105	15
0.262795	15
0.260504	15
0.258225	15
0.255961	15
0.253715	16
0.251485	16
0.249271	16
0.247074	16
0.244887	16
0.242708	16
0.240558	16
0.238435	16
0.236348	16
0.234282	16
0.232231	17
0.230199	17
0.228184	17
0.226178	17
0.224186	17
0.222208	17
0.220256	17
0.218330	17
0.216426	17
0.214545	17
0.212677	18
0.210826	18
0.208992	18
0.207184	18
0.205393	18
0.203628	18
0.201879	18
0.200140	18
0.198401	18
0.196676	19
0.194948	19
0.193223	19
0.191523	19
0.189844	19
0.188174	19
0.186517	19
0.184864	19
0.183217	19
0.181576	19
0.179939	20
0.178307	20
0.176681	20
0.175064	20
0.173450	20
0.171848	20
0.170267	20
0.168693	20
0.167129	20
