Relaxation	TimeSeparation

1.000000	0
0.994982	0
0.987486	0
0.979427	0
0.971280	0
0.963157	0
0.955088	0
0.947099	0
0.939183	0
0.931334	0
0.923538	0
0.915796	1
0.908105	1
0.900468	1
0.892888	1
0.885370	1
0.877927	1
0.870549	1
0.863231	1
0.855964	1
0.848739	2
0.841549	2
0.834413	2
0.827335	2
0.820312	2
0.813346	2
0.806442	2
0.799599	2
0.792807	2
0.786060	2
0.779370	3
0.772739	3
0.766174	3
0.759684	3
0.753255	3
0.746887	3
0.740582	3
0.734335	3
0.728155	3
0.722041	3
0.715977	4
0.709955	4
0.703980	4
0.698058	4
0.692186	4
0.686357	4
0.680590	4
0.674876	4
0.669217	4
0.663611	4
0.658052	4
0.652542	5
0.647078	5
0.641661	5
0.636298	5
0.630976	5
0.625691	5
0.620454	5
0.615266	5
0.610123	5
0.605032	5
0.599991	6
0.594991	6
0.590031	6
0.585109	6
0.580222	6
0.575373	6
0.570560	6
0.565781	6
0.561043	6
0.556348	6
0.551681	7
0.547045	7
0.542439	7
0.537865	7
0.533325	7
0.528816	7
0.524341	7
0.519893	7
0.515478	7
0.511090	7
0.506733	8
0.502412	8
0.498125	8
0.493864	8
0.489626	8
0.485420	8
0.481258	8
0.477134	8
0.473057	8
0.469010	8
0.464992	9
0.461010	9
0.457054	9
0.453139	9
0.449261	9
0.445414	9
0.441589	9
0.437790	9
0.434007	9
0.430238	9
0.426507	10
0.422805	10
0.419122	10
0.415461	10
0.411831	10
0.408247	10
0.404696	10
0.401174	10
0.397681	10
0.394203	10
0.390744	11
0.387316	11
0.383923	11
0.380563	11
0.377236	11
0.373930	11
0.370660	11
0.367423	11
0.364213	11
0.361033	11
0.357874	12
0.354730	12
0.351606	12
0.348509	12
0.345434	12
0.342393	12
0.339389	12
0.336422	12
0.333500	12
0.330610	12
0.327751	13
0.324913	13
0.322099	13
0.319316	13
0.316564	13
0.313841	13
0.311139	13
0.308456	13
0.305793	13
0.303165	13
0.300560	14
0.297978	14
0.295418	14
0.292881	14
0.290370	14
0.287893	14
0.285452	14
0.283037	14
0.280647	14
0.278277	14
0.275921	15
0.273585	15
0.271258	15
0.268943	15
0.266648	15
0.264391	15
0.262158	15
0.259955	15
0.257785	15
0.255644	15
0.253511	16
0.251396	16
0.249300	16
0.247220	16
0.245158	16
0.243102	16
0.241067	16
0.239057	16
0.237070	16
0.235096	16
0.233128	17
0.231172	17
0.229237	17
0.227326	17
0.225432	17
0.223554	17
0.221704	17
0.219879	17
0.218076	17
0.216289	17
0.214514	18
0.212754	18
0.211002	18
0.209259	18
0.207519	18
0.205792	18
0.204079	18
0.202382	18
0.200697	18
0.199020	19
0.197350	19
0.195689	19
0.194034	19
0.192389	19
0.190767	19
0.189155	19
0.187557	19
0.185976	19
0.184408	19
0.182841	20
0.181286	20
0.179747	20
0.178222	20
0.176714	20
0.175224	20
0.173744	20
0.172267	20
0.170795	20
