Relaxation	TimeSeparation

1.000000	0
0.994989	0
0.987512	0
0.979482	0
0.971367	0
0.963267	0
0.955210	0
0.947209	0
0.939281	0
0.931418	0
0.923629	0
0.915906	1
0.908246	1
0.900643	1
0.893096	1
0.885612	1
0.878199	1
0.870854	1
0.863567	1
0.856330	1
0.849152	2
0.842038	2
0.834983	2
0.827998	2
0.821077	2
0.814215	2
0.807411	2
0.800671	2
0.793989	2
0.787357	2
0.780773	3
0.774237	3
0.767751	3
0.761307	3
0.754908	3
0.748552	3
0.742245	3
0.735998	3
0.729806	3
0.723680	3
0.717607	4
0.711570	4
0.705578	4
0.699634	4
0.693746	4
0.687923	4
0.682167	4
0.676456	4
0.670793	4
0.665169	4
0.659581	4
0.654035	5
0.648541	5
0.643088	5
0.637681	5
0.632324	5
0.627015	5
0.621758	5
0.616543	5
0.611368	5
0.606229	5
0.601119	6
0.596048	6
0.591019	6
0.586026	6
0.581078	6
0.576184	6
0.571335	6
0.566532	6
0.561785	6
0.557076	6
0.552416	7
0.547806	7
0.543253	7
0.538751	7
0.534291	7
0.529869	7
0.525480	7
0.521134	7
0.516830	7
0.512560	7
0.508328	8
0.504132	8
0.499970	8
0.495841	8
0.491741	8
0.487680	8
0.483657	8
0.479672	8
0.475721	8
0.471809	8
0.467937	9
0.464096	9
0.460266	9
0.456455	9
0.452674	9
0.448933	9
0.445235	9
0.441568	9
0.437927	9
0.434311	9
0.430733	10
0.427199	10
0.423703	10
0.420241	10
0.416812	10
0.413411	10
0.410045	10
0.406703	10
0.403388	10
0.400100	10
0.396829	11
0.393594	11
0.390397	11
0.387227	11
0.384072	11
0.380934	11
0.377825	11
0.374733	11
0.371673	11
0.368644	11
0.365635	12
0.362645	12
0.359682	12
0.356738	12
0.353820	12
0.350935	12
0.348087	12
0.345284	12
0.342505	12
0.339750	12
0.337014	13
0.334301	13
0.331614	13
0.328948	13
0.326300	13
0.323673	13
0.321075	13
0.318495	13
0.315933	13
0.313382	13
0.310839	14
0.308329	14
0.305849	14
0.303396	14
0.300965	14
0.298555	14
0.296162	14
0.293793	14
0.291445	14
0.289120	14
0.286809	15
0.284520	15
0.282262	15
0.280037	15
0.277845	15
0.275681	15
0.273546	15
0.271436	15
0.269349	15
0.267284	15
0.265236	16
0.263212	16
0.261207	16
0.259214	16
0.257237	16
0.255277	16
0.253330	16
0.251393	16
0.249487	16
0.247610	16
0.245752	17
0.243917	17
0.242098	17
0.240292	17
0.238499	17
0.236706	17
0.234933	17
0.233174	17
0.231428	17
0.229699	17
0.227990	18
0.226297	18
0.224622	18
0.222955	18
0.221299	18
0.219651	18
0.218011	18
0.216391	18
0.214783	18
0.213188	19
0.211602	19
0.210012	19
0.208421	19
0.206833	19
0.205249	19
0.203670	19
0.202113	19
0.200575	19
0.199050	19
0.197516	20
0.195986	20
0.194462	20
0.192953	20
0.191451	20
0.189954	20
0.188463	20
0.186966	20
0.185457	20
