ProtocolTime	Work

5	2.871140
10	5.904267
15	8.874045
20	12.032103
25	15.340655
30	18.230907
35	21.058836
40	24.614298
45	27.458818
50	30.220995
55	33.678187
60	36.667561
65	39.451277
70	42.477756
75	45.899262
80	48.969559
85	51.889241
90	54.871211
95	57.933997
100	61.219946
105	64.387547
110	66.986419
115	69.751841
120	73.054364
125	76.218478
130	79.232202
135	82.227410
140	85.496397
145	88.544945
150	92.083349
155	94.503741
160	96.865450
165	100.706847
170	103.458678
175	106.537679
180	109.893310
185	113.085899
190	115.927766
195	119.072955
200	122.208870
