ProtocolTime	Work

5	231.856680
10	116.514867
15	80.012176
20	60.138538
25	48.329678
30	40.599753
35	37.359446
40	32.866998
45	30.342720
50	26.599444
55	25.543786
60	23.134489
65	22.444706
70	21.850351
75	21.228905
80	21.299815
85	20.925180
90	19.778625
95	19.069952
100	19.727335
105	18.758994
110	19.079651
115	19.402622
120	19.251606
125	18.881625
130	19.142450
135	19.092116
140	18.698691
145	17.976986
150	18.798175
155	19.198054
160	18.680629
165	20.036271
170	19.396297
175	19.483837
180	20.266547
185	20.293014
190	20.423945
195	21.304105
200	20.585947
