ProtocolTime	Work

5	4.014218
10	8.351248
15	12.716660
20	17.016332
25	21.256028
30	25.767456
35	29.792039
40	34.174656
45	38.719953
50	42.919485
55	47.335896
60	51.817066
65	56.312425
70	60.312645
75	64.747413
80	69.196450
85	73.203993
90	78.030511
95	81.651141
100	86.555052
105	90.832278
110	95.440663
115	99.190955
120	103.711153
125	108.136199
130	112.591844
135	116.835098
140	121.398066
145	125.451255
150	129.404175
155	134.144459
160	138.859087
165	142.088699
170	147.255433
175	151.625869
180	155.441941
185	159.971347
190	164.136873
195	168.851557
200	172.497422
