Time	Work

5.000000	11.511735
15.000000	3.852585
25.000000	2.334863
35.000000	1.651482
45.000000	1.314432
55.000000	1.037284
65.000000	0.906262
75.000000	0.755658
85.000000	0.686844
95.000000	0.609094
105.000000	0.573360
115.000000	0.526277
125.000000	0.494083
135.000000	0.450320
145.000000	0.438649
155.000000	0.381802
165.000000	0.390147
175.000000	0.339739
185.000000	0.316600
195.000000	0.338811
