ProtocolTime	Work

5	19.873666
10	10.082500
15	6.675368
20	4.953796
25	3.977317
30	3.330456
35	3.152187
40	3.032881
45	2.608031
50	2.481435
55	2.190107
60	1.998912
65	1.980125
70	1.961318
75	1.962167
80	1.772569
85	1.867486
90	1.904493
95	1.960012
100	1.940751
105	1.753333
110	1.737673
115	1.858767
120	1.791590
125	1.742237
130	1.957706
135	1.967526
140	1.820147
145	1.884975
150	1.908896
155	1.916630
160	1.818295
165	1.763155
170	2.025205
175	2.050713
180	2.105379
185	2.086158
190	2.131090
195	2.187570
200	2.172458
