CPTime	InternalTime

125.10	1491.60
150.10	1869.70
175.10	2125.90
200.10	2434.50
225.10	2704.60
250.10	2977.30
275.10	3358.10
300.10	3592.70
325.00	3946.00
350.00	4165.40
375.00	4516.30
400.00	4824.10
425.00	5145.70
450.00	5401.10
475.00	5818.90
500.00	5967.10
525.00	6338.30
550.00	6710.50
575.00	6947.60
600.00	7232.50
625.00	7556.50
650.00	7819.10
675.00	8090.50
700.00	8490.10
725.00	8735.50
750.00	8956.30
775.00	9391.30
800.00	9636.80
825.00	9980.70
850.00	10236.10
875.00	10607.20
900.00	10830.40
925.00	11204.70
950.00	11321.90
975.00	11705.50
1000.00	12079.70
1025.00	12359.30
1050.00	12617.90
1075.00	13054.60
1100.00	13258.10
1125.00	13722.10
1150.00	13945.20
1175.00	14186.90
1200.00	14487.30
1225.10	14739.50
1250.10	15166.30
1275.10	15438.70
1300.10	15693.70
1325.10	16066.50
1350.10	16272.50
1375.10	16563.20
1400.10	16887.90
1425.10	17266.20
1450.10	17485.30
1475.10	17894.90
1500.10	18135.70
1525.10	18339.40
1550.10	18783.00
1575.10	18888.00
1600.10	19320.10
1625.10	19586.70
1650.10	19862.10
1675.10	20232.10
1700.10	20384.80
1725.10	20698.30
1750.10	21172.30
1775.10	21397.00
1800.10	21681.50
1825.10	22038.10
1850.10	22456.60
1875.10	22531.00
1900.10	22825.10
1925.10	23375.00
1950.10	23607.10
1975.10	23710.50
