CPTime	InternalTime

125.10	5624.10
150.10	6501.80
175.10	7565.10
200.10	8585.50
225.10	9639.10
250.10	10717.30
275.10	11751.70
300.10	12768.10
325.00	14079.50
350.00	14905.60
375.00	16275.10
400.00	17040.00
425.00	18455.70
450.00	19350.20
475.00	20434.10
500.00	21326.60
525.00	22378.30
550.00	23530.60
575.00	24648.10
600.00	25704.10
625.00	26812.70
650.00	27967.30
675.00	29025.20
700.00	30194.70
725.00	30903.70
750.00	31710.80
775.00	33247.70
800.00	34632.10
825.00	35700.10
850.00	36313.30
875.00	37504.90
900.00	38805.10
925.00	39479.50
950.00	40835.20
975.00	41538.10
1000.00	43428.10
1025.00	43600.00
1050.00	45079.30
1075.00	46464.60
1100.00	47292.80
1125.00	48426.70
1150.00	49609.10
1175.00	50102.10
1200.00	51512.60
1225.10	52519.90
1250.10	54185.00
1275.10	54682.10
1300.10	56108.90
1325.10	56469.20
1350.10	57592.00
1375.10	59242.10
1400.10	60265.00
1425.10	61146.20
1450.10	62207.80
1475.10	63265.90
1500.10	64301.40
1525.10	65563.90
1550.10	66361.30
1575.10	66994.10
1600.10	68620.50
1625.10	69419.50
1650.10	70350.10
1675.10	71791.10
1700.10	72829.60
1725.10	74484.70
1750.10	75460.20
1775.10	75488.60
1800.10	77202.40
1825.10	78547.90
1850.10	79851.70
1875.10	80107.60
1900.10	81607.30
1925.10	82746.30
1950.10	83828.90
1975.10	84055.90
