CPTime	InternalTime

125.10	5392.10
150.10	6577.30
175.10	7459.30
200.10	8694.40
225.10	9794.50
250.10	10684.70
275.10	11696.10
300.10	12606.40
325.00	14102.30
350.00	15038.10
375.00	16226.10
400.00	17295.70
425.00	18326.80
450.00	19209.70
475.00	20306.60
500.00	21352.10
525.00	22535.20
550.00	23906.80
575.00	24703.40
600.00	25887.50
625.00	27118.10
650.00	27676.10
675.00	29136.10
700.00	29997.10
725.00	31402.10
750.00	32184.70
775.00	33202.50
800.00	34116.50
825.00	35848.00
850.00	36412.60
875.00	37857.70
900.00	38505.70
925.00	39616.60
950.00	40532.90
975.00	41576.10
1000.00	42914.10
1025.00	43962.70
1050.00	44908.50
1075.00	46245.70
1100.00	46870.20
1125.00	47787.20
1150.00	49212.10
1175.00	50407.60
1200.00	51618.10
1225.10	52937.60
1250.10	53565.10
1275.10	54777.70
1300.10	55762.10
1325.10	57276.10
1350.10	58297.60
1375.10	59221.20
1400.10	60332.90
1425.10	61116.70
1450.10	62536.10
1475.10	62784.10
1500.10	64630.00
1525.10	65393.90
1550.10	66605.20
1575.10	67501.50
1600.10	68997.60
1625.10	69977.70
1650.10	70890.10
1675.10	71611.90
1700.10	73343.10
1725.10	73612.80
1750.10	74763.10
1775.10	76276.30
1800.10	77195.40
1825.10	78894.10
1850.10	80091.10
1875.10	80200.90
1900.10	81768.50
1925.10	82410.10
1950.10	84210.10
1975.10	84348.10
