CPTime	InternalTime

125.10	857.00
150.10	1042.90
175.10	1175.30
200.10	1361.90
225.10	1516.30
250.10	1708.30
275.10	1856.10
300.10	2024.20
325.00	2175.00
350.00	2321.30
375.00	2485.50
400.00	2723.50
425.00	2844.10
450.00	3032.90
475.00	3195.70
500.00	3409.30
525.00	3535.60
550.00	3718.40
575.00	3922.70
600.00	4089.10
625.00	4224.70
650.00	4390.90
675.00	4522.80
700.00	4755.10
725.00	4885.30
750.00	5034.10
775.00	5205.30
800.00	5415.90
825.00	5543.20
850.00	5817.10
875.00	5865.40
900.00	6039.10
925.00	6235.30
950.00	6397.30
975.00	6578.10
1000.00	6707.10
1025.00	6879.10
1050.00	7067.80
1075.00	7278.00
1100.00	7383.70
1125.00	7470.50
1150.00	7757.20
1175.00	7956.40
1200.00	8050.10
1225.10	8290.20
1250.10	8388.70
1275.10	8556.90
1300.10	8772.40
1325.10	8959.60
1350.10	9079.30
1375.10	9279.70
1400.10	9426.50
1425.10	9627.20
1450.10	9755.30
1475.10	9957.70
1500.10	10153.90
1525.10	10274.50
1550.10	10478.70
1575.10	10638.20
1600.10	10794.00
1625.10	11044.90
1650.10	11090.50
1675.10	11183.10
1700.10	11432.50
1725.10	11653.30
1750.10	11871.70
1775.10	11923.00
1800.10	12188.10
1825.10	12333.30
1850.10	12339.70
1875.10	12559.30
1900.10	12860.50
1925.10	12880.30
1950.10	13207.10
1975.10	13363.80
