CPTime	InternalTime

125.10	491.50
150.10	611.90
175.10	701.70
200.10	788.50
225.10	916.10
250.10	1008.90
275.10	1093.70
300.10	1201.70
325.00	1302.90
350.00	1394.50
375.00	1508.10
400.00	1580.10
425.00	1668.90
450.00	1787.60
475.00	1880.10
500.00	1999.30
525.00	2082.50
550.00	2185.90
575.00	2297.70
600.00	2398.60
625.00	2481.10
650.00	2598.50
675.00	2712.10
700.00	2821.90
725.00	2872.60
750.00	2977.60
775.00	3092.10
800.00	3157.50
825.00	3278.20
850.00	3350.30
875.00	3537.20
900.00	3579.70
925.00	3688.30
950.00	3790.50
975.00	3892.60
1000.00	4020.60
1025.00	4075.50
1050.00	4186.50
1075.00	4286.20
1100.00	4414.90
1125.00	4478.10
1150.00	4588.90
1175.00	4710.50
1200.00	4797.30
1225.10	4885.10
1250.10	5004.10
1275.10	5127.10
1300.10	5215.30
1325.10	5246.50
1350.10	5379.60
1375.10	5499.10
1400.10	5576.70
1425.10	5691.10
1450.10	5763.10
1475.10	5846.50
1500.10	6007.30
1525.10	6106.30
1550.10	6180.40
1575.10	6325.30
1600.10	6391.30
1625.10	6454.70
1650.10	6600.70
1675.10	6679.30
1700.10	6777.70
1725.10	6913.10
1750.10	6944.80
1775.10	7107.70
1800.10	7164.10
1825.10	7310.50
1850.10	7329.70
1875.10	7464.60
1900.10	7615.10
1925.10	7692.70
1950.10	7794.60
1975.10	7777.30
