CPTime	InternalTime

125.10	836.10
150.10	994.90
175.10	1193.50
200.10	1355.30
225.10	1485.90
250.10	1662.60
275.10	1896.30
300.10	2004.10
325.00	2182.90
350.00	2352.10
375.00	2551.30
400.00	2686.10
425.00	2839.30
450.00	3018.10
475.00	3196.00
500.00	3340.80
525.00	3539.30
550.00	3751.30
575.00	3910.10
600.00	4057.70
625.00	4215.50
650.00	4430.90
675.00	4581.60
700.00	4780.90
725.00	4852.90
750.00	5036.50
775.00	5219.10
800.00	5379.70
825.00	5578.50
850.00	5662.60
875.00	5878.60
900.00	6104.80
925.00	6211.80
950.00	6417.70
975.00	6470.90
1000.00	6780.10
1025.00	6887.10
1050.00	7048.30
1075.00	7176.90
1100.00	7527.40
1125.00	7579.60
1150.00	7725.30
1175.00	7956.10
1200.00	8098.60
1225.10	8279.10
1250.10	8425.00
1275.10	8624.30
1300.10	8753.50
1325.10	8907.30
1350.10	9079.30
1375.10	9278.50
1400.10	9467.30
1425.10	9643.30
1450.10	9802.90
1475.10	9920.50
1500.10	10136.90
1525.10	10298.10
1550.10	10435.60
1575.10	10651.30
1600.10	10903.60
1625.10	10902.70
1650.10	11120.10
1675.10	11249.90
1700.10	11494.10
1725.10	11671.50
1750.10	11831.50
1775.10	11943.30
1800.10	12131.10
1825.10	12242.20
1850.10	12513.70
1875.10	12677.10
1900.10	12805.20
1925.10	12949.40
1950.10	13053.10
1975.10	13346.30
