Time	Work

10.000000	781.769295
20.000000	462.407581
30.000000	369.608763
40.000000	351.320734
50.000000	357.539438
60.000000	379.798827
70.000000	407.663122
80.000000	394.050001
90.000000	498.472461
100.000000	507.904262
110.000000	543.711920
120.000000	544.160866
130.000000	585.096873
140.000000	607.548669
150.000000	679.735048
160.000000	685.459202
170.000000	739.602048
180.000000	792.022970
190.000000	837.858434
200.000000	850.898840
