ProtocolTime	Work

5	1.042002
15	1.139936
25	1.259417
35	1.767893
45	2.646053
55	3.155901
65	3.396703
75	4.208399
85	4.755044
95	4.620610
105	5.082124
115	6.575546
125	6.007148
135	7.450332
145	7.169546
155	7.874358
165	8.171782
175	8.531051
185	9.102012
195	9.860651
