CPTime	InternalTime

100.10	672.90
150.10	1023.20
200.10	1354.80
250.10	1666.90
300.10	2013.30
350.00	2349.70
400.00	2686.90
450.00	3067.50
500.00	3349.00
550.00	3709.00
600.00	4032.10
650.00	4396.60
700.00	4744.00
750.00	5029.80
800.00	5329.10
850.00	5768.10
900.00	6064.60
950.00	6321.70
1000.00	6736.90
1050.00	7020.30
1100.00	7414.50
1150.00	7782.10
1200.00	8068.90
1250.10	8442.10
1300.10	8818.80
1350.10	9035.20
1400.10	9462.50
1450.10	9793.00
1500.10	10186.10
1550.10	10419.10
1600.10	10841.10
1650.10	11094.10
1700.10	11451.80
1750.10	11774.30
1800.10	12176.20
1850.10	12529.40
1900.10	12854.50
1950.10	13192.30
2000.10	13463.30
2050.10	13734.10
2100.10	14210.10
2150.10	14532.10
2200.10	14750.50
2250.10	15195.00
2300.10	15544.10
2350.10	15934.30
2400.10	16170.50
2450.10	16512.10
2500.10	16930.10
2550.10	17192.50
2600.10	17447.50
2650.10	17942.50
2700.10	18232.10
2750.10	18540.10
2800.10	18943.20
2850.10	19282.60
2900.10	19463.60
2950.10	19909.00
3000.10	20194.40
3050.10	20540.50
3100.10	20916.10
3150.10	21295.30
3200.10	21537.10
3250.10	21962.80
3300.10	22311.70
3350.10	22675.90
3400.10	22972.20
3450.10	23354.50
3500.10	23633.10
3550.10	24005.10
