ProtocolTime	Work

100	34.335632
150	38.252387
200	43.526164
250	46.890243
300	49.376453
350	52.199504
400	56.029895
450	59.854671
500	65.765838
550	64.783565
600	70.276327
650	73.235532
700	77.890186
750	80.564725
800	84.489651
850	87.796653
900	93.622009
950	95.097797
1000	100.072626
1050	101.119635
1100	104.487671
1150	112.332221
1200	112.853630
1250	117.172940
1300	119.685805
1350	122.921027
1400	125.964104
1450	130.110565
1500	133.008715
1550	138.296048
1600	140.922638
1650	143.711679
1700	147.892121
1750	154.356262
1800	156.577732
1850	159.469252
1900	163.056849
1950	162.495404
2000	168.208727
2050	173.425545
2100	174.173291
2150	181.364499
2200	179.579637
2250	188.307994
2300	192.189312
2350	192.324606
2400	197.952270
2450	203.880313
2500	206.562450
2550	209.748149
2600	213.972026
2650	216.135018
2700	218.496613
2750	220.907665
2800	226.319691
2850	232.802689
2900	232.927774
2950	238.660176
3000	239.391749
3050	244.074832
3100	247.003674
3150	253.606808
3200	257.935910
3250	262.427226
3300	267.386942
3350	264.931949
3400	265.454874
3450	270.245578
3500	281.189795
3550	282.229907
