CPTime	InternalTime

100.10	2234.20
150.10	3385.30
200.10	4448.60
250.10	5608.10
300.10	6694.50
350.00	7901.50
400.00	8976.30
450.00	10173.30
500.00	11325.80
550.00	12365.90
600.00	13528.30
650.00	14714.80
700.00	15600.10
750.00	16944.10
800.00	17870.10
850.00	18985.60
900.00	20226.70
950.00	21208.10
1000.00	22297.30
1050.00	23422.10
1100.00	24501.50
1150.00	25634.50
1200.00	26724.10
1250.10	27904.70
1300.10	29435.10
1350.10	30236.80
1400.10	31551.10
1450.10	32401.30
1500.10	33624.90
1550.10	34873.10
1600.10	35864.20
1650.10	37324.50
1700.10	38046.50
1750.10	38871.10
1800.10	40500.00
1850.10	41374.20
1900.10	42924.10
1950.10	43971.50
2000.10	44905.60
2050.10	46323.30
2100.10	47150.50
2150.10	48422.10
2200.10	49417.40
2250.10	50266.50
2300.10	51391.10
2350.10	53028.10
2400.10	53893.10
2450.10	55081.70
2500.10	56006.10
2550.10	57357.10
2600.10	58422.30
2650.10	59694.00
2700.10	60759.10
2750.10	61372.60
2800.10	62981.70
2850.10	64090.10
2900.10	65474.10
2950.10	66452.10
3000.10	67505.10
3050.10	68705.50
3100.10	69384.10
3150.10	70661.50
3200.10	71786.10
3250.10	72928.90
3300.10	74174.00
3350.10	75254.50
3400.10	76037.70
3450.10	77416.10
3500.10	78584.40
3550.10	79915.60
