CPTime	InternalTime

100.10	2245.90
150.10	3432.90
200.10	4502.50
250.10	5548.90
300.10	6735.40
350.00	7916.70
400.00	9093.10
450.00	10123.10
500.00	11296.10
550.00	12420.10
600.00	13261.30
650.00	14674.90
700.00	15675.20
750.00	16810.10
800.00	18070.10
850.00	19115.30
900.00	20374.30
950.00	21334.60
1000.00	22414.70
1050.00	23726.90
1100.00	24629.60
1150.00	25687.10
1200.00	27025.70
1250.10	28002.30
1300.10	29191.60
1350.10	30100.10
1400.10	31448.90
1450.10	32426.90
1500.10	33646.90
1550.10	34744.10
1600.10	36241.30
1650.10	36887.80
1700.10	38076.70
1750.10	39505.10
1800.10	40304.30
1850.10	41366.10
1900.10	42567.70
1950.10	43858.60
2000.10	44961.10
2050.10	46313.50
2100.10	47088.60
2150.10	48219.70
2200.10	49331.70
2250.10	50626.90
2300.10	51435.10
2350.10	52836.10
2400.10	53644.70
2450.10	54839.30
2500.10	56292.70
2550.10	57235.40
2600.10	58679.50
2650.10	59371.30
2700.10	60391.50
2750.10	61608.10
2800.10	62634.70
2850.10	63791.10
2900.10	64890.70
2950.10	66136.10
3000.10	67590.70
3050.10	68158.50
3100.10	69268.00
3150.10	70636.10
3200.10	71926.40
3250.10	73058.50
3300.10	74042.60
3350.10	75255.10
3400.10	76524.10
3450.10	77395.60
3500.10	78728.40
3550.10	79776.50
