CPTime	InternalTime

100.10	682.60
150.10	1008.20
200.10	1338.10
250.10	1700.50
300.10	2030.70
350.00	2331.10
400.00	2700.10
450.00	3076.10
500.00	3342.10
550.00	3759.10
600.00	4038.10
650.00	4386.30
700.00	4691.80
750.00	4997.80
800.00	5351.60
850.00	5733.10
900.00	6064.10
950.00	6336.70
1000.00	6805.60
1050.00	6969.70
1100.00	7431.10
1150.00	7781.10
1200.00	8070.80
1250.10	8424.10
1300.10	8737.70
1350.10	9120.90
1400.10	9413.00
1450.10	9754.30
1500.10	10074.50
1550.10	10482.10
1600.10	10787.30
1650.10	11140.90
1700.10	11474.20
1750.10	11802.10
1800.10	12139.80
1850.10	12513.30
1900.10	12758.30
1950.10	13118.10
2000.10	13419.10
2050.10	13897.70
2100.10	14135.50
2150.10	14439.60
2200.10	14901.80
2250.10	15163.50
2300.10	15507.90
2350.10	15897.70
2400.10	16097.10
2450.10	16526.10
2500.10	16881.10
2550.10	17277.40
2600.10	17489.70
2650.10	17874.10
2700.10	18199.10
2750.10	18537.30
2800.10	18877.60
2850.10	19322.20
2900.10	19711.60
2950.10	19972.80
3000.10	20235.90
3050.10	20623.50
3100.10	20853.80
3150.10	21272.50
3200.10	21637.30
3250.10	21934.50
3300.10	22309.90
3350.10	22613.60
3400.10	22925.60
3450.10	23224.60
3500.10	23623.90
3550.10	24006.50
