ProtocolTime	Work

5	2.292599
10	1.656834
15	1.764495
20	2.084415
25	2.309559
30	2.466669
35	2.922199
40	3.081211
45	3.840184
50	4.218102
55	4.307288
60	4.806733
65	5.333587
70	5.538438
75	5.958479
80	6.506115
85	6.419572
90	7.285735
95	7.509438
100	7.823318
105	8.495036
110	8.762612
115	8.797184
120	9.134832
125	9.558120
130	10.393116
135	10.127552
140	11.523975
145	11.232363
150	11.783539
155	12.066000
160	12.695268
165	13.452994
170	13.534420
175	13.395480
180	14.391448
185	14.199115
190	14.930887
195	15.841435
200	15.946433
