ProtocolTime	Work

5	7.479104
10	4.181101
15	3.747937
20	3.241766
25	3.739247
30	3.546096
35	4.003760
40	4.135462
45	4.423169
50	5.028272
55	4.737022
60	5.617103
65	5.800228
70	6.081504
75	6.779620
80	7.091893
85	7.464779
90	7.789296
95	8.034255
100	8.625245
105	9.037350
110	9.002933
115	9.748229
120	9.926525
125	10.628504
130	10.623126
135	11.504121
140	11.523735
145	11.729950
150	12.480631
155	12.949433
160	13.516568
165	14.062356
170	13.524515
175	14.774442
180	14.685750
185	15.183323
190	15.513880
195	16.131587
200	16.825371
