ProtocolTime	Work

5	3.031142
10	6.079751
15	9.142857
20	12.219802
25	15.188597
30	18.346747
35	21.421894
40	24.444716
45	27.577651
50	30.535253
55	33.631496
60	36.676381
65	39.769503
70	42.731675
75	45.876640
80	49.001774
85	52.104798
90	55.131271
95	58.176632
100	61.283705
105	64.268654
110	67.481034
115	70.461152
120	73.451341
125	76.546277
130	79.636406
135	82.637809
140	85.758484
145	88.727766
150	91.876074
155	94.915645
160	97.925953
165	101.108268
170	104.064575
175	107.233481
180	110.174723
185	113.129543
190	116.368447
195	119.318546
200	122.539461
