ProtocolTime	Work

5	4.247671
10	8.638915
15	12.986168
20	17.188048
25	21.480989
30	25.999603
35	30.250674
40	34.613953
45	38.872582
50	43.059994
55	47.559501
60	51.958719
65	56.108204
70	60.538767
75	64.942945
80	69.217967
85	73.570053
90	77.849102
95	82.373868
100	86.520521
105	90.959883
110	95.190283
115	99.518878
120	104.015268
125	108.127598
130	112.393971
135	116.780119
140	120.909634
145	125.508430
150	130.024240
155	134.185006
160	138.576565
165	142.833556
170	147.173773
175	151.538413
180	155.574511
185	160.351917
190	164.411204
195	168.828380
200	173.116848
