ProtocolTime	Work

5	1.013883
10	2.093869
15	3.158867
20	4.234791
25	5.364049
30	6.363593
35	7.560629
40	8.498704
45	9.700166
50	10.804144
55	11.793838
60	12.928273
65	13.958494
70	15.093240
75	16.236687
80	17.290812
85	18.505640
90	19.377687
95	20.519810
100	21.590033
105	22.669194
110	23.620856
115	24.817856
120	25.937847
125	26.889278
130	28.128684
135	29.156198
140	30.239080
145	31.429077
150	32.362561
155	33.584023
160	34.502554
165	35.590834
170	36.797518
175	37.755907
180	38.782150
185	40.008432
190	41.082299
195	42.151889
200	43.206984
