ProtocolTime	Work

5	16.534277
10	10.114849
15	9.078830
20	9.155775
25	9.668922
30	10.434287
35	11.475365
40	12.424212
45	14.118797
50	14.878857
55	16.086201
60	17.366099
65	18.406597
70	19.708047
75	21.568582
80	22.104902
85	22.817633
90	25.418263
95	25.616294
100	27.306177
105	28.777901
110	30.059468
115	31.990697
120	32.666492
125	34.363712
130	35.214474
135	36.990070
140	37.808211
145	39.614841
150	40.163931
155	41.649862
160	43.479561
165	44.227324
170	45.454560
175	46.553422
180	48.761601
185	49.472533
190	51.046973
195	52.107932
200	54.271801
