ProtocolTime	Work

5	17.056330
10	34.581260
15	51.601579
20	68.981234
25	86.375250
30	103.736214
35	120.905665
40	138.274122
45	156.324995
50	173.170091
55	190.053051
60	207.585163
65	224.594321
70	242.099165
75	260.153291
80	276.823585
85	294.192448
90	312.153278
95	328.372346
100	345.962252
105	363.892891
110	381.689453
115	398.283782
120	415.343718
125	432.758127
130	450.304064
135	467.162845
140	485.369795
145	502.558855
150	519.182791
155	536.680601
160	554.542261
165	571.069229
170	589.298691
175	605.675710
180	623.734019
185	640.120032
190	657.391626
195	675.118558
200	692.329680
